id,trade_date,entry_date,symbol,side,qty,entry_price_usd,exit_price_usd,exit_reason,entry_fx_rate,exit_fx_rate,entry_value_dkk,exit_value_dkk,realized_pnl_usd,realized_pnl_dkk,cumulative_pnl_dkk,created_at
1,2025-05-02,2025-04-04,MSFT,long,5.0,357.2846932067871,431.7569749450684,1/2 strategier siger SELL,6.9,6.9,12326.321915634155,14895.61563560486,372.36140869140655,2569.293719970705,2569.293719970705,2026-03-16 19:22:28
2,2025-06-17,2025-04-04,AAPL,long,10.0,187.6563117828369,194.94893978118898,1/2 strategier siger SELL,6.9,6.9,12948.285513015746,13451.476844902041,72.92627998352089,503.1913318862953,3072.485051857,2026-03-16 19:22:29
3,2025-07-21,2025-04-04,GOOGL,long,13.0,145.16944175720215,189.5776186065674,1/2 strategier siger SELL,6.9,6.9,13021.698925621033,17005.112389009097,577.3062990417482,3983.413463388064,7055.898515245064,2026-03-16 19:22:29
4,2025-08-08,2025-07-11,AAPL,long,9.0,210.6246383514404,228.53984771728517,1/2 strategier siger SELL,6.9,6.9,13079.79004162445,14192.32454324341,161.23688429260284,1112.5345016189603,8168.4330168640245,2026-03-16 19:22:31
5,2025-10-28,2025-10-08,MSFT,long,3.0,522.9378519287109,539.5553437194825,1/2 strategier siger SELL,6.9,6.9,10824.813534924315,11168.795614993287,49.85247537231487,343.9820800689722,8512.415096932997,2026-03-16 19:22:32
6,2025-12-30,2025-11-21,MSFT,long,4.0,471.28038327026366,486.1267186126709,backtest_slut,6.9,6.9,13007.338578259278,13417.097433709718,59.38534136962903,409.75885545044,8922.173952383437,2026-03-16 19:22:34
